VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-07-01 06:53:01,2021-07-01 07:04:09,N,1,116,24,1,2.31,10,0,0.5,0,0,,0.3,10.8,2,1,0
1,2021-07-01 06:20:14,2021-07-01 06:56:59,N,1,243,125,1,.00,24.2,0,0.5,0,0,,0.3,25,1,1,0
2,2021-07-01 06:28:15,2021-07-02 06:17:23,N,1,169,28,1,15.63,52,0,0.5,0,6.55,,0.3,59.35,1,1,0
2,2021-07-01 06:03:13,2021-07-01 06:22:48,N,1,18,18,1,.03,12,0,0.5,0,0,,0.3,12.8,2,1,0
2,2021-07-01 06:22:58,2021-07-01 07:12:31,N,1,18,197,1,17.64,57.5,0,0.5,0,6.55,,0.3,64.85,1,1,0
2,2021-07-01 06:48:04,2021-07-01 07:01:48,N,1,127,119,1,4.12,15,0,0.5,0,0,,0.3,15.8,2,1,0
1,2021-07-01 06:29:14,2021-07-01 07:07:45,N,5,198,50,1,9.00,35.7,0,0,0,0,,0.3,36,2,1,0
2,2021-07-01 06:09:27,2021-07-01 06:45:05,N,1,213,197,1,15.89,47.5,0,0.5,0,6.55,,0.3,54.85,1,1,0
2,2021-07-01 06:21:57,2021-07-01 07:05:02,N,1,119,197,1,18.80,57,0,0.5,0,6.55,,0.3,64.35,1,1,0
2,2021-07-01 06:37:19,2021-07-01 06:37:35,N,2,43,43,1,.03,52,0,0.5,0,0,,0.3,52.8,2,1,0
2,2021-07-01 06:37:58,2021-07-01 06:47:36,N,1,43,142,1,2.77,10.5,0,0.5,2.81,0,,0.3,16.86,1,1,2.75
2,2021-07-01 06:56:29,2021-07-01 07:21:30,N,1,168,137,1,6.39,21.5,0,0.5,5.01,0,,0.3,30.06,1,1,2.75
1,2021-07-01 06:06:29,2021-07-01 06:19:13,N,1,244,75,1,.00,15.2,0,0.5,0,0,,0.3,16,1,1,0
2,2021-07-01 06:32:20,2021-07-01 06:48:39,N,1,244,246,1,7.14,22,0,0.5,0,0,,0.3,25.55,2,1,2.75
2,2021-07-01 06:15:27,2021-07-01 06:35:21,N,1,223,207,1,4.04,16.5,0,0.5,0,0,,0.3,17.3,1,1,0
2,2021-07-01 06:24:50,2021-07-01 06:48:02,N,1,166,48,1,4.37,18,0,0.5,3.45,0,,0.3,25,1,1,2.75
